question,anser,c1,c2,c3
童謡「かたつむり」ツノだせヤリだせ何をだせ？,あたま,かね,しっぽ,あたま
プリンスはメロン プリンセスは？,りんご,りんご,みかん,すいか
天下統一をした人は？,とよとみひでよし,とよとみひでよし,たけだしんげん,だてまさむね
生まれたときの大きさが2センチなのは？,コアラ,コアラ,キリン,カバ
オズの魔法使いが住んでいるのは？,エメラルドのみやこ,ダイヤモンドのみやこ,エメラルドのみやこ,ルビーのみやこ
漫画「サザエさん」でタラちゃんとイクラちゃんの関係は？,はとこ,いとこ,はとこ,きょうだい
時速200キロの新幹線。非常ブレーキをかけて静止するまでなんキロ走る？,やく2キロ,やく0.8キロ,やく1.6キロ,やく2キロ
シャンデリア。フランス語でもともとなんの意味？,ろうそく,ガラス,ろうそく,たいよう
鬼がでてこない物語は？,かぐやひめ,かぐやひめ,ももたろう,いっすんぼうし
もっとも電気を通しやすいのは？,ぎん,きん,ぎん,どう
走り高跳びに関係あるのは？,バー,スナック,クラブ,バー
体重60キロの人の体内にある血液の量は？,5リットル,5リットル,10リットル,15リットル
片手を上げているのは？,ならのだいぶつ,ならのだいぶつ,かまくらのだいぶつ,たかおかのだいぶつ
将棋の駒の数は全部でいくつ？,40,40,50,60
史上初の女性宇宙飛行士はどこの国の人？,ソビエト,アメリカ,ソビエト,フランス
鉄腕アトムのお兄さんの名前は？,コバルト,ウラン,プルトニウム,コバルト
モーターを使わない電気器具は？,アイロン,アイロン,れいぞうこ,ステレオ
火をつけた蚊取り線香1ぽんの寿命は約なん時間？,7じかん,5じかん,7じかん,9じかん
中国に実際にある楽器は？,ぎょっ,ぬっ,ありっ,ぎょっ
建築工事などでおなじみのクレーンとはもともとなんのこと？,つる,キリン,だいじゃ,つる
1チーム11人で試合をしないのは？,ラグビー,ラグビー,サッカー,アメリカンフットボール
ドラえもんのヒゲ全部で何本？,6ぽん,2ほん,4ほん,6ぽん
空の70パーセントを雲が覆っている場合の天気は？,はれ,はれ,くもり,かいせい
人間のヒフでもっとも厚い部分は？,あしのうら,ツラのかわ,しりのかわ,あしのうら
大仏とは高さなんメートル以上のものを言う？,5メートル,3メートル,5メートル,10メートル
アンデルセンの醜いアヒルの子。実は何の子？,はくちょう,はくちょう,サギ,カモ
タマゴをコマのように回したとき良く回るものは？,ゆでたタマゴ,ゆでたタマゴ,しんせんなタマゴ,くさったタマゴ
北極グマが氷の上を歩いても滑らないのは？,あしのうらにけがあるから,ツメをたてるから,あしのうらにけがあるから,きをつけてあるくから
日本の白バイ。初めは何色だった？,あか,くろ,あか,グレー
童謡「どんぐりころころ」の歌詞で正しいのは？,どんぐりころころどんぶりこ,どんぐりころころどんぐりこ,どんぐりころころどんぶりこ,どんぐりころころどんぶらこ
上野の西郷さんの銅像がつれている犬の名前は？,ツン,ツン,ケン,ドン
プッシュホンで0の真上にある数字は？,8,7,8,9
カミナリの音と光ではどちらが先に伝わる？,ひかり,おと,ひかり,どうじ
ひゃっかんデブとはズバリなんキログラム？,357キログラム,175キログラム,275キログラム,357キログラム
競馬のスタートのやり直しをなんと言う？,カンパイ,シンパイ,シッパイ,カンパイ
次のうち実在しない植物は？,おどろき,おどろき,もものき,さんしょのき
日本の警察犬としてもっとも多いのは？,シェパード,シェパード,あきたけん,コリー
おシャカさまは生まれてすぐ何をした？,あるいた,わらった,あるいた,ごはんをたべた
日本の国際電話回線が初めて繋がれた国は？,フィリピン,アメリカ,フィリピン,シンガポール
渋谷の忠犬ハチ公は何けん？,あきたけん,とさけん,あきたけん,シェパード
忙しい時に借りたいのはなんの手？,ねこのて,ねこのて,まごのて,あいのて
盤のマス目が一番多いのは？,しょうぎ,オセロ,チェス,しょうぎ
漫画「ドラえもん」の苦手な動物は？,ネズミ,ゴキブリ,ネズミ,アリ
チルチルミチルがいかなかった国は？,ふこうのくに,みらいのくに,おもいでのくに,ふこうのくに
次のうち実際にある木は？,ニッケイ,サンケイ,ニッケイ,ヨンケイ
次のうち音の強さをあらわす単位は？,ワット,アンペア,ボルト,ワット
わゴムを発明した国は？,にほん,にほん,アメリカ,ドイツ
「西遊記」の孫悟空はどこから生まれた？,いしのなか,きのなか,いしのなか,みずのなか
歩行者用の青信号の男の人のマークはどちらをむいている？,ひだり,しょうめん,みぎ,ひだり
シュークリームのシューとはなんのこと？,キャベツ,きしゃのけむり,つくるときのてつき,キャベツ
ディズニー漫画に出てくる「プルート」はなに？,イヌ,イヌ,ネズミ,アヒル
ビスケットに小さな穴があいているのはなぜ？,かたちをくずさないように,ねつをなかまでとおすため,おいしくみえるように,かたちをくずさないように
陸上競技のゴールのテープ。もっとも多く使われているのは？,けいと,セロテープ,けいと,かみ
次のうち日本で作られた言葉は？,ブレザーコート,レインコート,オーバーコート,ブレザーコート
トランプのキングのうちヒゲがないのは？,ハート,ダイヤ,ハート,クラブ
タマゴ料理のオムレツはもともとなんの意味？,はんえんけいのうすいさら,たくさんのタマゴ,はんえんけいのうすいさら,あぶらでやいたもの
次の物語の中で日本へやってきたことのある主人公は？,ガリバー,トム ソーヤー,ガリバー,ドン キホーテ
世界一高地にある湖は？,チチカカこ,チチカカこ,トトカカこ,ババカカこ
ヒマラヤ山脈のヒマラヤの意味は？,ゆきのすみか,かみのすみか,ゆきのすみか,かぜのすみか
テンプラをあげるときの適温は？,180ど,90ど,130ど,180ど
カンガルーのあかちゃんはどうやってお母さんの袋に入る？,じぶんでよじのぼる,おかあさんがくわえていれる,じぶんでよじのぼる,さいしょからはいっている
次のうちジャムにできない果物は？,カキ,アンズ,イチジク,カキ
長野県が接している県はいくつ？,8けん,6けん,8けん,10けん
あなたのひいおじいさんは何人？,4にん,2にん,4にん,8にん
日本で最初にラジオ実況中継が行われたスポーツは？,やきゅう,すもう,やきゅう,じゅうどう
ピラフとはもともとどこの国の料理？,トルコ,ペルー,トルコ,ネパール
サッカーのワールドカップ大会は何年ごとに開かれる？,4ねん,1ねん,2ねん,4ねん
1リットルの水はなんグラム？,1000グラム,100グラム,1000グラム,10000グラム
「たけとりものがたり」のかぐやひめは何人からプロポーズされた？,5にん,3にん,4にん,5にん
虹の７いろのうち最も内側にある色は？,あか,あか,だいだい,あお
「ほしのおうじさま」で不時着した飛行士が王子と出会った砂漠は？,サハラさばく,ゴビさばく,リビアさばく,サハラさばく
次のスポーツでギリシャ時代から行われていたものは？,レスリング,レスリング,スキー,フェンシング
宝くじの賞金の支払い期限は？,1ねん,1ねん,2ねん,3ねん
次のうち最も温度が低いものは？,ドライアイス,ふつうのみず,ドライアイス,アイスクリーム
シンデレラの馬車は何を魔法にかけたもの？,カボチャ,ネズミ,カボチャ,ホウキ
上野の山の西郷さんが履いているものは？,ぞうり,げた,ぞうり,くつ
タコの足は体のどこから生えている？,あたま,むね,しり,あたま
計量スプーン大さじは小さじの約なん倍？,3ばい,3ばい,5ばい,7ばい
必ずハンカチをもたなければいけないスポーツは？,アマチュアレスリング,ばじゅつ,ラグビー,アマチュアレスリング
郵便ポストの正式名は？,ゆうびんさしだしばこ,ゆうびんさしだしばこ,ゆうびんとうかんばこ,ゆうびんかいしゅうばこ
グーチョキパーを順番に出していくと10番目は何？,グー,チョキ,グー,パー
タマネギ100グラムの中に約どのくらいの水分が含まれている？,90グラム,75グラム,90グラム,100グラム
日本で一番長い川は？,しなのがわ,しなのがわ,とねがわ,いしかりがわ
北極星は何座の星？,こぐまざ,こいぬざ,こぐまざ,さそりざ
アメリカのニューヨーク。昔はなんと呼ばれた？,ニューアムステルダム,ニューアムステルダム,ニューイングランド,ニューワシントン
ギャング王アル カポネで有名なアメリカの都市といえば？,シカゴ,シカゴ,ニューヨーク,アルバカーキ
次の川のうちアフリカ大陸を流れているものは？,ナイルがわ,アマゾンがわ,インダスがわ,ナイルがわ
日本の県で最も面積が広いのは？,いわてけん,ながのけん,あきたけん,いわてけん
タバコを最初に吸ったのはどこの人？,アメリカインディアン,アメリカインディアン,イギリスじん,オランダじん
人類が一番最初に発明した乗り物は？,ゆきゾリ,タンカ,トロッコ,ゆきゾリ
ボクシングでチンといったらどこの部分？,あご,はら,あご,こうとうぶ
世界で最初の婦人警官が誕生した警察は？,ロサンゼルスけいさつ,ニューヨークけいさつ,モスクワけいさつ,ロサンゼルスけいさつ
歩行者天国を最初にはじめた国は？,ニューヨーク,パリ,ベルリン,ニューヨーク
サーフィン用語でボードの上で高度な技をすることは？,ホットドッグ,ハンバーガー,ドーナツ,ホットドッグ
長崎の名物でないのは？,とんこつラーメン,チャンポン,さらうどん,とんこつラーメン
世界で初めてハイジャックをしたのは？,ちゅうごくじん,アメリカじん,ちゅうごくじん,イスラエルじん
実際にある木は？,バクチノキ,スリノキ,バクチノキ,ドロボウノキ
テレフォンカードの厚さは？,0.28ミリ,0.08ミリ,0.28ミリ,0.78ミリ
プロ野球オリックスの強力打線の異名は？,ブルーサンダーだせん,ブルーエンジェルだせん,ブルーサンダーだせん,ブルートレインだせん
イタチの仲間でないのは？,マングース,スカンク,ラッコ,マングース
「ガスタンク」を英語でいうと？,ガスホルダー,ガスボンベ,ガスバルン,ガスホルダー
音楽用カセットテープを発明した国は？,オランダ,にほん,アメリカ,オランダ
他人の言うことに調子をあわせるのは？,たいこをたたく,たいこをうつ,たいこをたたく,たいこをもつ
冷蔵庫にいれておくと味鮮度がおちやすい果物は？,バナナ,リンゴ,バナナ,ナツミカン
カセットテープに巻きつけてある芯の名前は？,ハブ,ハブ,マムシ,コブラ
満月の明るさは太陽の明るさの何分の1？,500000ぶんの1,5000ぶんの1,50000ぶんの1,500000ぶんの1
インダス川の流域の遺跡が発見された,ハラッパ,ノハラ,アキチ,ハラッパ
実際にある植物は？,おにく,おにく,おさかな,おやさい
ポルトガルからきた外来語は？,カッパ,アルバイト,カッパ,ランドセル
ジャンボジェット機が離陸する瞬間の速度は？,やくじそく300キロ,やくじそく300キロ,やくじそく500キロ,やくじそく700キロ
世界最大のカニは？,タカアシガニ,ズワイガニ,タカアシガニ,タラバガニ
昭和54年に売り出された日本語ワープロ第1号のお値段は？,630まんえん,330まんえん,630まんえん,930まんえん
もっともカロリーが低いのは？,そば,うどん,ラーメン,そば
魚のタラをギリシャ語でいうと？,バカヤロ,バカヤロ,アホンダラ,ガシンタレ
本当にいる鳥は？,クイナ,クイナ,ノミナ,クツロギナ
「すずめやき」ってなにを焼いたもの,フナ,カエル,イナゴ,フナ
夜空にかがやく星座の数は？,88,88,880,8800
ビールをもっとも多く生産している国は？,アメリカ,にほん,にしドイツ,アメリカ
日本にいるゴキブリの種類は？,50しゅるい,5しゅるい,10しゅるい,50しゅるい
パリの郵便ポストの色は？,ぐんじょう,あか,ぐんじょう,きいろ
ウロコをみても年齢が分からない魚は？,サバ,イワシ,タイ,サバ
ハゼ科の魚は？,キヌバリ,モメンバリ,キヌバリ,ツムギバリ
実在する昆虫は？,カンタン,カンタン,フクザツ,ムズカシイ
相撲力士が食べる「ちゃんこ」のもともとの意味は？,おっさん,じっちゃん,おっさん,おっかさん
卓球の発祥国は？,フランス,フランス,イギリス,ドイツ
発生回数の一番多いのは？,たいふう,サイクロン,ハリケーン,たいふう
実際にある木は？,ボロボロのき,ヨレヨレのき,ボロボロのき,フラフラのき
実際にある病気は？,マネージャーびょう,アイドルびょう,ディレクターびょう,マネージャーびょう
次のうち空を飛ぶのは？,エアバス,ハトバス,エアバス,コントラバス
1円玉の重さは1グラム 3億円分を運ぶには10トントラックで何台？,30だい,3だい,30だい,300だい
アメリカ発祥でないスポーツは？,ハンドボール,やきゅう,バスケットボール,ハンドボール
ニューヨークのエンパイアステートビルができたのは？,20せいき,18せいき,19せいき,20せいき
学名をジャポニカという日本特産の植物は？,わさび,しょうが,とうがらし,わさび
アメリカ合衆国は日本の約何倍？,25ばい,15ばい,25ばい,35ばい
ビールに苦味をつけるホップはどの部分？,はな,は,はな,かじつ
楽器オカリナの「オカ」とはどんな意味？,ガチョウ,ガチョウ,ハト,アヒル
昔の遊びに使われた「ベーゴマ」は何からかたどったもの？,かいがら,おうぎ,じょうご,かいがら
フランス語ではブイヨン。英語では？,スープストック,スープソース,スープルー,スープストック
パンダはパンダ科。ではコアラは何科？,クスクスか,アハアハか,クスクスか,ウフウフか
視力が一番良い鳥は？,タカ,タカ,ペンギン,カラス
ウナギにないものは？,はらびれ,むなびれ,しりびれ,はらびれ
カレンダーにないのは？,くちのひ,みみのひ,はなのひ,くちのひ
カタツムリにあるものは？,は,つめ,まつげ,は
一番軽いものは？,50えんだま,10えんだま,50えんだま,100えんだま
「うさぎとかめ」がでてくる童話は？,イソップ,グリム,アンデルセン,イソップ
日本最初のテレビコマーシャルの商品は？,とけい,とけい,くるま,カメラ
飛ぶ鳥の中で一番大きいのは？,アホウドリ,アホウドリ,グンカンドリ,オオワシ
日本で最初にワンマンバスが走ったのは？,おおさか,とうきょう,おおさか,なごや
サイのなかでもっとも大きい種類は？,シロサイ,クロサイ,シロサイ,アオワシ
恐竜のステゴザウルスは頭以外にどこに脳があった？,こし,のど,こし,しっぽ
カロリーのないものは？,しお,す,しょうゆ,しお
ターザンの恋人は？,ジェーン,ジュリー,シェーン,ジェーン
ベニスのタクシーといえば？,ゴンドラ,イカダ,カヌー,ゴンドラ
西武ライオンズのシンボルマークのライオンの名前は？,レオ,エルザ,ジョニー,レオ
カリフラワーを白く茹で上げるのにいれるのは？,す,ぎゅうにゅう,す,さとう
一番最初に解散したのは？,フォーリーブス,ピンクレディ,フォーリーブス,キャンディーズ
1日24時間をふんになおすと？,1440ぷん,1440ぷん,14400ぷん,144000ぷん
ダイヤモンドに次いで硬い鉱物は？,サファイア,サファイア,エメラルド,しんじゅ
ウマのひづめは1つ。ではシカのひづめは９くつ？,2つ,1つ,2つ,3つ
ネコの脈拍はどこで測る？,うちまた,むね,て,うちまた
直径が一番大きいのは？,10えんだま,1えんだま,10えんだま,50えんだま
カイコのマユからできるのは？,きぬ,めん,きぬ,あさ
ナイチンゲールはどこの看護婦？,スイス,フランス,スイス,イギリス
一寸法師が舟のかわりにしたものは？,おわん,おわん,ささの,ははし
もっとも日が早く沈む都市は？,とうきょう,とうきょう,なごや,おおさか
定期券で乗れる特急は？,しんかんせん,しんだいとっきゅう,Lとっきゅう,しんかんせん
茹でるとき塩をいれるのはどれ？,スパゲッティー,うどん,そうめん,スパゲッティー
マッシュルームは何科のきのこ？,マツタケ,シイタケ,シメジ,マツタケ
顔の中であぐらをかくと言われるのはどこ？,はな,め,くち,はな
1円玉を10000こ積み重ねるとどれくらいの高さになる？,15メートル,5メートル,15メートル,30メートル
ふつうの空気1リットルの重さはどれくらい？,1.3グラム,0.13グラム,1.3グラム,13グラム
イチゴの花は何色？,しろ,ピンク,しろ,あか
虹を7いろに分けた学者は誰？,ニュートン,ニュートン,パスカル,ピタゴラス
次の果物のなかで一番ビタミンＣが多いのは？,キンカン,レモン,キンカン,イチゴ
缶詰の発明に関係のある人物は？,ナポレオン,リンカーン,ナポレオン,ビクトリアじょおう
大工道具のうち花の名前にあるものといったら？,カンナ,カンナ,ノコギリ,ノミ
実際にいる貝の名前は？,ヘソクリ,ボーナス,ツミタテ,ヘソクリ
将棋の駒はなん角形？,5かくけい,4かくけい,5かくけい,6かくけい
世界で最初に宇宙旅行した動物は？,イヌ,イヌ,サル,ネズミ
コロンブスはどこの国の人？,イタリアじん,スペインじん,イタリアじん,ポルトガルじん
血液が全身をひとまわりする時間は？,23びょう,23びょう,23ぷん,23じかん
次のうち昆虫でないものは？,ダニ,ダニ,ノミ,シラミ
水泳の種目でドルフィンキックを使うのは？,バタフライ,バタフライ,ひらおよぎ,せおよぎ
「ズッこける」の元来の意味は次のうちどれ？,ゆるんでずりおちる,いしにつまづいてこける,こづかれてよろめく,ゆるんでずりおちる
次の時代のうちもっとも長く続いた時代は？,へいあんじだい,ならじだい,へいあんじだい,むろまちじだい
フランスで「あいのリンゴ」ドイツで「てんしのリンゴ」と呼ばれるものは？,トマト,ニンジン,タマネギ,トマト
純金1グラムで細い針金を作るとどのくらいのばせる？,3キロメートル,100メートル,3キロメートル,1000キロメートル
次のうちもっとも赤道に近い島は？,グァムとう,グァムとう,サイパンとう,オアフとう
1キロメートルはなんミリメートル？,1000000ミリメートル,10000ミリメートル,100000ミリメートル,1000000ミリメートル
1匹の働きバチが1回に運ぶ蜜の量は？,たいじゅうの2ぶんの1,たいじゅうの3ぶんの1,たいじゅうの2ぶんの1,たいじゅうとおなじ
ジェット機の飛ぶ速さで「マッハ1」といったら秒速なんメートル？,びょうそく340メートル,びょうそく140メートル,びょうそく240メートル,びょうそく340メートル
「ペンション」もともとはどんな意味？,ねんきん,ろうふうふ,おんせんち,ねんきん
次の動物のなかで色を見分けられるのは？,サル,イヌ,ネコ,サル
郵便ポストが赤い理由は？,ひとめにつきやすいから,あかじにならないように,ひとめにつきやすいから,がいこくのまね
星の明るさで1等星は6等星の何倍の明るさ？,100ばい,6ばい,50ばい,100ばい
名探偵シャーロックホームズが住んでいる街の名前は？,ベーカーがい,ベーカーがい,ホームズがい,ルパンがい
1911年世界で初めて南極に到達した探検家は誰？,アムンゼン,アムンゼン,ヒラリ,ヤモリー
忍者の合言葉で「やま」といえば「かわ」。では「かえる」といったら？,いど,いど,いく,あぶら
現在の東京駅。どこの駅をまねたもの？,アムステルダムえき,イスタンブールえき,アムステルダムえき,モスクワえき
ヤツメウナギに目はいくつ？,2つ,1つ,2つ,8つ
スペインでは日本のことをなんと呼ぶ？,ハポン,ハポン,スッポン,ジッポン
「うのはな」といったら何のこと？,おから,うどん,おから,うなぎ
フランス語で「クロワッサン」とはどんな意味？」,みかづき,ざっし,みかづき,まんげつ
ダイヤモンドはなんの結晶？,たんそ,さんかアルミニウム,すいそ,たんそ
人間に肝臓はいくつある？,1つ,1つ,2つ,3つ
世界で初めて走ったロンドンの地下鉄の燃料は？,じょうき,でんき,ガソリン,じょうき
1センチメートルの1億分の1の長さの単位は？,オングストローム,オングストローム,コングストローム,リングストローム
マンガ「ルパン３世」で彼を追い回す警部は？,ぜにがたけいぶ,きんだいちけいぶ,あけちけいぶ,ぜにがたけいぶ
「トムソーヤーのぼうけん」の作者は？,マーク トウェイン,トム ソーヤー,マーク トウェイン,エドガー アラン ポー
日本の初代内閣総理大臣はだれ？,いとうひとふみ,いたがきたいすけ,いとうひとふみ,いわくらともみ
インスタントコーヒーの製法を発明したのはどこの国の人？,にほん,アメリカ,にほん,ブラジル
カモシカの汗は何色？,あお,あか,あお,くろ
童謡「こいのぼり」。こいのぼりはなにより高い？,やね,てん,ぼくのしんちょう,やね
野良イヌにかまれた場合に届けでる機関は？,ほけんじょ,けいさつ,やくば,ほけんじょ
古代エジプトのスフィンクス。頭は人間、体は？,ライオン,ライオン,クジラ,ウマ
ビールの苦味のもとは？,ホップ,チップ,トップ,ホップ
地震の震度は0からいくつまで？,7,5,7,9
ガラパゴス諸島はどこの国に属する？,エクアドル,キューバ,エクアドル,トンガおうこく
アメリカ合衆国の面積は世界で何番目の大きさ？,4ばんめ,4ばんめ,5ばんめ,6ばんめ
プロレスでふたりずつ組んでする試合をなんという？,タッグマッチ,タイトルマッチ,タッグマッチ,デスマッチ
マンガ「サザエさん」の夫の名前は？,マスオ,フグオ,カツオ,マスオ
公式テニスで点数0はなんと言われる？,ラブ,ジュテーム,リーチ,ラブ
青森県の有名なお祭りは？,ねぶたまつり,すぶたまつり,ねぶたまつり,こぶたまつり
「江戸の華」といえば火事となに？,けんか,けんか,ひあそび,じしん
「ワーカホリック」とはなんのこと？,はたらきすぎ,たべすぎ,のみすぎ,はたらきすぎ
受け付けてもらえない電報は？,つうしんぶんのないでんぽう,つうしんぶんのないでんぽう,1じだけのでんぽう,「バクダンシカケタ」
夏目漱石がかいた小説は？,ぶんちょう,ぶんちょう,ウグイス,ホトトギス
もっとも歴史が古いマラソン大会は？,ボストンマラソン,ボストンマラソン,ホノルルマラソン,ふくおかこくさいマラソン
日本海の名づけ親はどこの国の人？,ロシアじん,ちゅうごくじん,インドじん,ロシアじん
「3すくみ」といえばヘビ、カエルとなに？,ナメクジ,ノミ,ゴキブリ,ナメクジ
時報はダイヤル何番？,117,117,177,777
宝塚歌劇団の4つのくみといったら「つき」「ほし」「ゆき」とあと1つは？,はな,さくら,ゆめ,はな
「ほたるのひかり」はどこの国の民謡？,スコットランド,スコットランド,ドイツ,ロシア
救助犬として有名なセントバーナドの原産地は？,スイス,スイス,ドイツ,イギリス
サボテンのトゲは何が変化したもの？,は,は,はな,ね
宮本武蔵と佐々木小次郎が決闘したがんりゅうじまは何県にある？,やまぐちけん,たかやまけん,やまぐちけん,えひめけん
上から呼んでも下から読んでも同じ文といえば？,かいぶん,おうふくぶん,かいぶん,ぎゃくぶん
「はりくよう」をする日は？,2がつ8か,2がつ8か,3がつ8か,4がつ8か
民謡「ソーランぶし」の中にでてくる合いの手は？,ドッコイショドッコイショ,ドッコイショドッコイショ,アーソレソレ,チョイナチョイナ
自動車の名前に使われているのは？,パンダ,ラッコ,パンダ,ビーバー
初代ウルトラマンが負けてしまった敵は？,ゼットン,ゼットン,バルタンせいじん,レッドキング
おぼうさんがかぶる頭巾をなんという？,もうす,ほっかむり,つのかくし,もうす
東京ディズニーランドにないのは？,ムーンサルトスクランブル,ビッグサンダーマウンテン,ホーンデッドマウンテン,ムーンサルトスクランブル
次のうち食べられるのは？,いまがわやき,ありたやき,びぜんやき,いまがわやき
もっとも古い作品は？,7にんのさむらい,うちゅうの7にん,こうやの7にん,7にんのさむらい
動物が主人公の物語は？,さんげつき,さんげつき,ほうじょうき,さんごくし
ギネスブックが世界1の大泥棒と認めたのは？,マルクス,アミン,サダト,マルクス
ビールのおつまみ「枝豆」とはなんの豆？,だいず,あずき,だいず,エンドウマメ
